address,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,roomType,stars
"Manali, Himachal Pradesh, India",False,32.2233,77.18228,HighQ Manali / Deluxe Room,3,8946,Room in hotel,
"Manali, Himachal Pradesh, India",False,32.22352,77.18152,Highq manali / 3 BHK Cottage,9,9124,Room in hotel,
"Goa, India",False,15.504,73.866,Best view of the river from your terrace 04,4,9900,Private room in home,4.0
"Bhuntar, Himachal Pradesh, India",False,31.88656,77.14467,Shabashe,1,8684,Shared room in rental unit,
"Jaipur, Rajasthan, India",False,26.85991,75.66909,Luxurious Independent Studio with Wifi & Kitchen,1,20690,Entire condo,4.75
"Bhuntar, Himachal Pradesh, India",False,32.01248,77.29114,Aman Palace Guest House Kasol With Super Deluxe Room,3,4274,Room in hotel,
"Bhuntar, Himachal Pradesh, India",False,32.01204,77.2909,Aman Palace Guest House Kasol With Deluxe Room,2,4274,Room in hotel,
"Gurugram, Haryana, India",True,28.36673,77.00647,Boutique destination wedding experience  50pax pkg,16,1734,Farm stay,
"Ganaheda, Rajasthan, India",False,26.49372,74.5383,Lux farm resort with pool - Villa,12,1804,Farm stay,
"Banjar, Himachal Pradesh, India",False,31.63839,77.34503,Deluxe Room,3,2822,Room in hotel,
"Morjim, Goa, India",False,15.62707,73.7327,"Vedatmana By The Waves, Morjim",12,902,Entire villa,
"Gurugram, Haryana, India",False,28.35517,77.00426,Marriage  Or Party Full Resort For 30 Persons,16,1443,Farm stay,
"Awas, Maharashtra, India",False,18.76514,72.87878,StayVista - Pranaam - 6Bhk Luxury Alibaug,15,912,Entire villa,
"Bengaluru, Karnataka, India",False,13.12752,77.56391,Luxury PoolSide Heritage Villa in Lap of Nature,16,882,Private room in resort,
"Sangolda, Goa, India",False,15.54799,73.81177,12 BR Mansion | Big Groups | Private Pool | Scenic,16,1374,Entire villa,
"Rishikesh, Uttarakhand, India",False,30.13704,78.30683,An extravagant Pushp villa overlooking the Ganges,8,788,Entire villa,
"Parra, Goa, India",True,15.57329,73.7767,Perfect for Big Groups! 8BR Villa w Pool in Parra,16,978,Entire villa,
"New Delhi, Delhi, India",False,28.496,77.166,Brookwood Gardens Wedding Guest Rooms,16,962,Farm stay,
"Aru, India",False,34.09091,75.26407,Pahalgham Cottage Next to the River,10,782,Entire cottage,
"North Goa, Goa, India",False,15.56203,73.78613,Crystal Village 10 Bedroom Pvt Pool villa Nagoa,16,854,Entire home,
"Mararikulam, Kerala, India",False,9.58429,76.3051,Flamingo lovely boutique villa 11 bed Luxury Space,16,1443,Entire home,
"Awas, Maharashtra, India",True,18.76034,72.88551,10 BHK Luxury Villa w Pool - Modern Cottage Style,16,1325,Entire villa,4.89
"Canacona, Goa, India",True,14.9939,74.0571,"6 BHK Villa W/pool,wifi- LuaCheia,canacona , Goa",13,1220,Entire villa,
"Nainital, Uttarakhand, India",False,29.38514,79.45673,"Luxury Entire Heritage Villa, Wifi",16,842,Entire villa,
"Pathau, Uttarakhand, India",False,30.1373,78.30656,A majestic luxurious villa overlooking the Ganges,8,913,Entire villa,
"Anjuna, Goa, India",False,15.58917,73.75996,Azara Serenidad 5BHK Private Pool Villa in Anjuna,10,1185,Entire villa,
"Nathuwakhan, Uttarakhand, India",True,29.47118,79.58584,Homfortable Loshgyani Estate-Rustic forest retreat,12,1118,Farm stay,
"Manali, Himachal Pradesh, India",True,32.29923,77.17704,Entire boutique stay with 8 rooms Khvaab Manali,16,962,Room in boutique hotel,
