address,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,roomType,stars,City,State
"Manali, Himachal Pradesh, India",False,32.2233,77.18228,HighQ Manali / Deluxe Room,3,8946,Room in hotel,4.75,"Manali, Himachal Pradesh",India
"Manali, Himachal Pradesh, India",False,32.22352,77.18152,Highq manali / 3 BHK Cottage,9,9124,Room in hotel,4.75,"Manali, Himachal Pradesh",India
"Goa, India",False,15.504,73.866,Best view of the river from your terrace 04,4,9900,Private room in home,4.0,Unknown,Goa
"Bhuntar, Himachal Pradesh, India",False,31.88656,77.14467,Shabashe,1,8684,Shared room in rental unit,4.75,"Bhuntar, Himachal Pradesh",India
"Jaipur, Rajasthan, India",False,26.85991,75.66909,Luxurious Independent Studio with Wifi & Kitchen,1,20690,Entire condo,4.75,"Jaipur, Rajasthan",India
"Bhuntar, Himachal Pradesh, India",False,32.01248,77.29114,Aman Palace Guest House Kasol With Super Deluxe Room,3,4274,Room in hotel,4.75,"Bhuntar, Himachal Pradesh",India
"Bhuntar, Himachal Pradesh, India",False,32.01204,77.2909,Aman Palace Guest House Kasol With Deluxe Room,2,4274,Room in hotel,4.75,"Bhuntar, Himachal Pradesh",India
"Gurugram, Haryana, India",True,28.36673,77.00647,Boutique destination wedding experience  50pax pkg,16,1734,Farm stay,4.75,"Gurugram, Haryana",India
"Ganaheda, Rajasthan, India",False,26.49372,74.5383,Lux farm resort with pool - Villa,12,1804,Farm stay,4.75,"Ganaheda, Rajasthan",India
"Banjar, Himachal Pradesh, India",False,31.63839,77.34503,Deluxe Room,3,2822,Room in hotel,4.75,"Banjar, Himachal Pradesh",India
"Morjim, Goa, India",False,15.62707,73.7327,"Vedatmana By The Waves, Morjim",12,902,Entire villa,4.75,"Morjim, Goa",India
"Gurugram, Haryana, India",False,28.35517,77.00426,Marriage  Or Party Full Resort For 30 Persons,16,1443,Farm stay,4.75,"Gurugram, Haryana",India
"Awas, Maharashtra, India",False,18.76514,72.87878,StayVista - Pranaam - 6Bhk Luxury Alibaug,15,912,Entire villa,4.75,"Awas, Maharashtra",India
"Bengaluru, Karnataka, India",False,13.12752,77.56391,Luxury PoolSide Heritage Villa in Lap of Nature,16,882,Private room in resort,4.75,"Bengaluru, Karnataka",India
"Sangolda, Goa, India",False,15.54799,73.81177,12 BR Mansion | Big Groups | Private Pool | Scenic,16,1374,Entire villa,4.75,"Sangolda, Goa",India
"Rishikesh, Uttarakhand, India",False,30.13704,78.30683,An extravagant Pushp villa overlooking the Ganges,8,788,Entire villa,4.75,"Rishikesh, Uttarakhand",India
"Parra, Goa, India",True,15.57329,73.7767,Perfect for Big Groups! 8BR Villa w Pool in Parra,16,978,Entire villa,4.75,"Parra, Goa",India
"New Delhi, Delhi, India",False,28.496,77.166,Brookwood Gardens Wedding Guest Rooms,16,962,Farm stay,4.75,"New Delhi, Delhi",India
"Aru, India",False,34.09091,75.26407,Pahalgham Cottage Next to the River,10,782,Entire cottage,4.75,Aru,India
"North Goa, Goa, India",False,15.56203,73.78613,Crystal Village 10 Bedroom Pvt Pool villa Nagoa,16,854,Entire home,4.75,"North Goa, Goa",India
